"acronym","name","city","country","mic"
"NASDAQ","NASDAQ - ALL MARKETS","NEW YORK",,"XNAS"
"NYSE","NEW YORK STOCK EXCHANGE, INC.","NEW YORK",,"XNYS"
"NYSE","NYSE ARCA","NEW YORK",,"ARCX"
"","OTC LINK ATS - OTC MARKETS","NEW YORK",,"OTCM"
"AMEX","NYSE AMERICAN LLC","NEW YORK",,"XASE"
"CBOE","CBOE GLOBAL MARKETS INC.","CHICAGO",,"XCBO"
"NMFQS","US Mutual Funds","New York","USA","NMFQS"
"","OTHER OTC","WASHINGTON",,"OOTC"
"","OTC GREY MARKET","NEW YORK",,"PSGM"
"","OTCQB MARKETPLACE","NEW YORK",,"OTCB"
"","OTCQX MARKETPLACE","NEW YORK",,"OTCQ"
"","OTC PINK CURRENT","NEW YORK",,"PINC"
"IEX","INVESTORS EXCHANGE","NEW YORK",,"IEXG"
"BATS","CBOE BZX U.S. EQUITIES EXCHANGE","CHICAGO",,"BATS"
"BCBA","BOLSA DE COMERCIO DE BUENOS AIRES","BUENOS AIRES",,"XBUE"
"","EURONEXT - EURONEXT BRUSSELS","BRUSSELS",,"XBRU"
"","NASDAQ TALLINN AS","TALLINN",,"XTAL"
"","NASDAQ HELSINKI LTD","HELSINKI",,"XHEL"
"","EURONEXT - EURONEXT PARIS","PARIS",,"XPAR"
"","DEUTSCHE BOERSE AG","FRANKFURT",,"XFRA"
"","BOERSE STUTTGART","STUTTGART",,"XSTU"
"XETR","Deutsche B?rse Xetra","Frankfurt","Germany","XETRA"
"","BORSA ITALIANA S.P.A.","MILAN",,"XMIL"
"","NASDAQ RIGA AS","RIGA",,"XRIS"
"","AB NASDAQ VILNIUS","VILNIUS",,"XLIT"
"","EURONEXT - EURONEXT AMSTERDAM","AMSTERDAM",,"XAMS"
"WSE","WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET","WARSAW",,"XWAR"
"","EURONEXT - EURONEXT LISBON","LISBON",,"XLIS"
"BELEX","BELGRADE STOCK EXCHANGE","BELGRADE",,"XBEL"
"BME","BME - BOLSAS Y MERCADOS ESPANOLES","MADRID",,"BMEX"
"","NASDAQ STOCKHOLM AB","STOCKHOLM",,"XSTO"
"BSE","BAHRAIN BOURSE","MANAMA",,"XBAH"
"B3","B3 S.A. - BRASIL BOLSA BALCAO","SAO PAULO",,"BVMF"
"TSX","TORONTO STOCK EXCHANGE","TORONTO",,"XTSE"
"CSE LISTED","CANADIAN SECURITIES EXCHANGE","TORONTO",,"XCNQ"
"","SANTIAGO STOCK EXCHANGE","SANTIAGO",,"XSGO"
"SSE","SHANGHAI STOCK EXCHANGE","SHANGHAI",,"XSHG"
"","SHENZHEN STOCK EXCHANGE","SHENZHEN",,"XSHE"
"BVC","BOLSA DE VALORES DE COLOMBIA","BOGOTA",,"XBOG"
"","NASDAQ COPENHAGEN A/S","COPENHAGEN",,"XCSE"
"CASE","EGYPTIAN EXCHANGE","CAIRO",,"XCAI"
"HKEX","HONG KONG EXCHANGES AND CLEARING LTD","HONG KONG",,"XHKG"
"ICEX","NASDAQ ICELAND HF.","REYKJAVIK",,"XICE"
"BSE","BSE LTD","MUMBAI",,"XBOM"
"NSE","NATIONAL STOCK EXCHANGE OF INDIA","MUMBAI",,"XNSE"
"IDX","INDONESIA STOCK EXCHANGE","JAKARTA",,"XIDX"
"TASE","TEL AVIV STOCK EXCHANGE","TEL AVIV",,"XTAE"
"NSE","NAGOYA STOCK EXCHANGE","NAGOYA",,"XNGO"
"","FUKUOKA STOCK EXCHANGE","FUKUOKA",,"XFKA"
"","SAPPORO SECURITIES EXCHANGE","SAPPORO",,"XSAP"
"","BOLSA MEXICANA DE VALORES (MEXICAN STOCK EXCHANGE)","MEXICO",,"XMEX"
"NZX","NZX - ALL MARKETS","AUCKLAND",,"XNZE"
"NSE","THE NIGERIAN STOCK EXCHANGE","LAGOS",,"XNSA"
"","OSLO BORS","OSLO",,"XOSL"
"BVL","BOLSA DE VALORES DE LIMA","LIMA",,"XLIM"
"DSM","QATAR STOCK EXCHANGE","DOHA",,"DSMD"
"MOEX","MOSCOW EXCHANGE - ALL MARKETS","MOSCOW",,"MISX"
"","SAUDI STOCK EXCHANGE","RIYADH",,"XSAU"
"SGX","SINGAPORE EXCHANGE","SINGAPORE",,"XSES"
"JSE","JOHANNESBURG STOCK EXCHANGE","JOHANNESBURG",,"XJSE"
"KRX SM","KOREA EXCHANGE (STOCK MARKET)","SEOUL",,"XKRX"
"SIX","SIX SWISS EXCHANGE","ZURICH",,"XSWX"
"TWSE","TAIWAN STOCK EXCHANGE","TAIPEI",,"XTAI"
"SET","STOCK EXCHANGE OF THAILAND","BANGKOK",,"XBKK"
"","BORSA ISTANBUL","ISTANBUL",,"XIST"
"LSE","LONDON STOCK EXCHANGE","LONDON",,"XLON"
"HOSE","HOCHIMINH STOCK EXCHANGE","HO CHI MINH CITY",,"XSTC"
